skelbimo_pavadinimas;Namo numeris:;Plotas:;Kaina mėn.:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Aktyvus iki;Įsiminė;Peržiūrėjo;kaina_eur;coordinate_x;coordinate_y;Skelbimą peržiūrėjo (iš viso/šiandien);Skelbimo tekstas;error_get_energy_consumption_class;error_get_air_polution_data;url_crawl;Pastato energijos suvartojimo klasė:;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);energijos_suvartojimo_klase;error_get_perziuru_sk;error_get_coordinates;scrape_date
Vilnius, Bajorai, Bajorų kel., 2 kambarių buto nuoma;9A;50 m²;550 €;2;4;5;2012;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/4-1190894;2022-11-03;2022-11-08;;19;820/12 (iš viso/šiandien);550;54.755709;25.262724;820/12;"Šviesus, jaukus ir labai šiltas dviejų kambarių butas.
5 aukštų plytinis namas, butas 4 aukšte iš 5, iš visų pusių kaimynai- todėl butas šiltasBus nupirktas naujas svetainės kampas.IŠPLANAVIMAS:
-- Virtuvė su valgomojo zona ir svetaine;
-- Miegamasis;
-- Vonios kambarys ir tualetas kartu;
-- Koridorius;
-- Visa reikiama buitine technika ir baldai yra.ĮRENGIMAS:
-- Plastikiniai langai;
-- Balkonas;ŠILDYMAS:
-- Centrinis kolektorinis;PARKINGAS:
-- Požeminis parkingas;VIETA:
-- Strategiškai patogi vieta, patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
-- Ramūs kaimynai, rami vieta;
-- Netoli viešojo transporto stotelės;
-- Dviračių bei pasivaikščiojimo takai;SKAMBINKITE JUMS PATOGIU LAIKU IR SUTEIKSIU DAUGIAU INFORMACIJOS. JEI BUTAS TIKS, BUS TAIKOMAS VIENKARTINIS TARPININKAVIMO MOKESTIS";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-bajoru-kel-sviesus-jaukus-ir-labai-siltas-dvieju-4-1190894/;;;;;3 Klasė Gera (1-3);;;2022_11_13
Vilnius, Naujininkai, Šaltkalvių g., 1 kambario buto nuoma;;29 m²;340 €;1;7;12;1975;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/4-1190882;2022-11-03;2022-11-03;;5;345/6 (iš viso/šiandien);340;54.66072;25.265151;345/6;"IŠNUOMOJAMAS 1 KAMBARIO BUTAS NAUJININKUOSE, ŠALTKALVIŲ G.Butas tvarkingas, yra visi reikiami baldai ir buitinė technika. Šiltas ir jaukus, nedideli komunaliniai mokesčiai. Butas kompaktiškas, nedidelės kvadratūros, labiausiai tinkamas vienam ar dviem asmenim.Laukiami tvarkinigi nuomininkai .SUPLANAVIMAS:
- Virtuvė
- Miegamasis
- Vonios kambarys ir tualetas
- Koridorius
- BalkonasKOMUNIKACIJOS- Elektra;
- Internetas;
- Kabelinė televizija------------------------------------------------------------------------------
Butui tikus, taikomas vienkartinis agentūros mokestis.
____________________________________________
Mantas Laumelis +370 683 77 436
Skambinkite ir suteiksiu daugiau informacijos, susitarsime del apžiuros.
PARDAVEJAI, domina kiek kainuoja Jūsų butas? Skambinkite – IVERTINSIU NEMOKAMAI!";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-saltkalviu-g-isnuomojamas-1-kambario-butas-naujininkuose-4-1190882/;;;;;7 Klasė Bloga (6-8);;;2022_11_13
Vilnius, Naujamiestis, Mindaugo g., 3 kambarių buto nuoma;;61 m²;850 €;3;3;5;2002;Mūrinis;Centrinis kolektorinis;Įrengtas;Uždaras kiemas, Internetas;Vieta automobiliui;Su baldais, Kondicionierius, Skalbimo mašina, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1190878;2022-11-03;2022-11-03;;4;290/8 (iš viso/šiandien);850;54.67637;25.27423;290/8;"Nuomojamas trijų kambarių butas Naujamiestyje, Mindaugo g.IŠDĖSTYMAS:
- Svetainė kartu su virtuve
- Miegamasis kambarys
- Darbo zona (kambarys nėra izoliuotas)
- Vonios kambarysAPIE BUTĄ IR NAMĄ:
- Butas nuomojamas su visais matomais baldais
- Buitinė technika: šaldytuvas, orkaitė, kaitlentė, skalbimo mašina
- Oro kondicionierius svetainėje
- Židinys
- Sieninės spintos koridoriuje ir miegamajame
- Prižiūrima laiptinė
- Uždaras vidinis kiemasŠILDYMAS:
- Centrinis kolektorinis
- Individuali apskaitaPARKAVIMAS:
- Požeminiame garaže nuomojoma parkavimo vieta už papildomą kainąSkambinkite Jums patogiu metu!
--
Two bedroom apartment for rent in Naujamiestis, Mindaugo st.LAYOUT:
- Living room with kitchen
- Bedroom
- Work area (the room is not isolated)
- BathroomABOUT THE APARTMENT AND THE HOUSE:
- The apartment is rented with all visible furniture
- Household appliances: refrigerator, oven, hob, washing machine
- Air conditioner in living room
- Fireplace
- Wardrobes in the corridor and bedroom
- Maintained staircase
- Closed courtyardHEATING:
- Central
- Individual accountingPARKING:
- A parking space is available for rent in the underground garage at an additional costCall at your convenient time!RebalticID:VM32836";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-triju-kambariu-butas-naujamiestyje-4-1190878/;;;;;;;;2022_11_13
Vilnius, Naujamiestis, Savanorių pr., 2 kambarių buto nuoma;;41 m²;650 €;2;8;9;2015;Mūrinis;Centrinis kolektorinis, centrinis;Įrengtas;Uždaras kiemas, Internetas, Butas per kelis aukštus, Tualetas ir vonia atskirai, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Kabelinė televizija;Balkonas, Vieta automobiliui;Židinys, Su baldais, Šaldytuvas, Viryklė, Indaplovė, Dušo kabina, Vonia;Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna;www.aruodas.lt/4-1190876;2022-11-03;2022-11-03;;27;715/8 (iš viso/šiandien);650;54.679329;25.258864;715/8;"Išnuomojamas puikiai įrengtas 2 kambarių butas centre, Savanorių pr., naujos statybos namų projekte ""Naujamiesčio namai""!Laisvas nuo lapkričio mėn. pradžios.ĮRENGIMAS: butas įrengtas kokybiškomis medžiagomis ir apstatytas komfortiškais baldais: integruota virtuvės technika (viryklė, orkaitė, šaldytuvas), baro stalas su kėdėmis, prabangi sofa svetainėje, TV, dvigulė lova su čiužiniu miegamajame, erdvios sieninės spintos miegamajame ir prieškambaryje, dušo kabina ir skalbimo mašina vonios kambaryje.IŠPLANAVIMAS: virtuvė sujungta su svetaine, atskiras miegamasis, atskiras vonios kambarys. Abiejų kambarių langai orientuoti į šviesią pietrytinę kiemo pusę.PARKAVIMAS: butui priklauso rezervuota vieta antžeminėje aikštelėje (papildoma kaina).ŠILDYMAS: centrinis-kolektorinis - itin ekonomiškas.Skambinkite Jums patogiu metu!
--
A well-furnished 2-rooms apartment for rent in the center, Savanorių pr., in the newly built house project ""Naujamieścio namai""!EQUIPMENT: the apartment is equipped with quality materials and furnished with comfortable furniture: integrated kitchen appliances (stove, oven, refrigerator), bar table with chairs, luxurious sofa in the living room, TV, double bed with mattress in the bedroom, spacious wall-mounted wardrobes in the bedroom and hallway, shower cabin and laundry room machine in the bathroom.LAYOUT: kitchen connected to living room, separate bedroom, separate bathroom. The windows of both rooms are oriented to the bright southeast side of the yard.PARKING: the apartment has a reserved space in the above-ground parking lot (additional price).HEATING: central-collector - extremely economical.Preferred tenants - 1 working person or working couple. No pets. For at least one year.Call at your convenience!RebalticID:NL32844";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-isnuomojamas-puikiai-irengtas-2-kambariu-4-1190876/;;;;;;;;2022_11_13
Vilnius, Fabijoniškės, Salomėjos Nėries g., 2 kambarių buto nuoma;;50 m²;450 €;2;8;12;2006;Mūrinis;Centrinis kolektorinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Kabelinė televizija;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1190874;2022-11-03;2022-11-04;;22;910/24 (iš viso/šiandien);450;54.74131;25.23227;910/24;"Išnuomojamas 2-jų ATSKIRŲ kambarių butas, naujos statybos name Fabijoniškėse, S.Neries g.Bute yra visi reikalingi baldai ir buitinė technika.Yra erdvus balkonas/lodžija. Netoliese parduotuvės, stotelės, prekybos centrai. Puikus susisiekimas su miesto centru. Yra vidinis kiemelis su vaikų žaidimo aikštele. Butas šiltas ir jaukus. Galimybė nuomotis parkavimo vietą.Butas jau laisvas.!!!Laukime Jūsų apžiūrose!!!IŠPLANAVIMAS:- Erdvus koridorius- Vonios kambarys ir tualetas kartu
- Virtuvė- Svetainė
- Miegamasis
- Balkonas/Lodžija-RAKINAMA LAIPTINĖ ( įėjimas tik su raktu)ŠILDYMAS:-Autonominis (reguliuojamas)APLINKA:-Netoliese parduotuvės, prekybos centras, stotelė.Jei butas tiks, bus taikomas vienkartinis agentūros mokestis.Skambinti Jums patogiu metu";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-isnuomojamas-2-ju-atskiru-kambariu-butas-4-1190874/;;;;;;;;2022_11_13
Vilnius, Naujamiestis, Šermukšnių g., 1 kambario buto nuoma;;38 m²;680 €;1;2;5;1961;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/4-1171983;2022-11-03;2022-11-03;;2;142/2 (iš viso/šiandien);680;54.690009;25.275249;142/2;"Nuomojamas puikiai įrengtas 1 k. butas Šermukšnio g. (greta Lukiškių aikštės).Puiki lokacinė vieta, centrinėje Vilniaus dalyje - puikus pasiūlymas norintiems pajusti dinamišką miesto gyvenimą! Šiltuoju sezono metu bute maloniai vėsu, o šaltuoju metu jausitės labai komfortiškai, nes butas tikrai labai šiltas, nereikės laukti šildymo sezono pradžios.Strategiškai patogi lokacine vieta ir puikiai išvystyta infrastruktūra: šalia Lukiškių aikštė, parduotuvės, viešojo transporto stotelės, restoranai, teatrai ir kita.BUTO PRIVALUMAI:- ATSKIRTA VIRTUVĖ NUO DIDŽIOJO KAMBARIO- TELEVIZORIUS, SKALBIMO MAŠINA- RENOVUOTAS NAMAS- MAŽI MOKESČIAI- KODINĖ LAIPTINĖ- MEDINIAI LANGAI TURINTYS VENTILIACIJOS SISTEMĄ- PALANGĖS IŠ MARMURO
- OPTIMIZUOTA ŠILDYMO SISTEMA
- PERTVARKYTA KARŠTO VANDENS ŠILDYMO SISTEMA
- PAKEISTOS IR ĮRENGTOS VENTILIACIJOS SISTEMOS
- ĮRENGTI SAULĖS KOLEKTORIAI KARŠTO VANDENS RUOŠIMUI
- NAUJA ELEKTROS INSTALIACIJA- RAMI KAIMYNYSTĖBENDRA INFORMACIJA:
• Vieta: Šermukšnių g. 8, Senamiestis;
• Aukštas: 2/5;
• Plotas: 40 kv. m;
• Statybos metai: 1961, renovacijos pabaiga 2022;
• Kambarių skaičius: 1, virtuvė atskirta nuo didžiojo kambario;
• Šildymas: centrinis kolektorinis.Butas yra pačiame miesto centre – Šermukšnio gatvelėje šalia Gedimino prospekto. Susisiekimui patogioje vietoje, vos 150metrų nuo Lukiškių aikštes, bei Gedimino pr. Jaukus namas su erdvia laiptine ir solidi kaimynystė. Kodinės pagrindinės durys į bendrą koridorių. Bute aukštos lubos ir funkcionalus išplanavimas. Jis kokybiškai ir patogiai įrengtas (yra skalbyklė). Puiki vieta tiek mėgstantiems miesto šurmulį, tiek pasportuoti ar pasivaikščioti parke: iki Lukiškių aikštės 100 m., iki Arkikatedros 1000 m.Jūsų naujas butas laukia Jūsų!!! Skambinkite ir teiraukitės dėl apžiūros.Butas nuomojamas ne trumpesniam kaip 1 metų terminui. Imamas dviejų nuomos mėnesio depozito mokestis.........Skambinkite Jums patogiu metu ir suteiksiu daugiau informacijos!.........Jeigu butas tiks, bus taikomas vienkartinis tarpininkavimo mokestis.";;;https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-sermuksniu-g-nuomojamas-puikiai-irengtas-1-k-butas-4-1171983/;;;14.5 µg/m3;24.3 µg/m3;4 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Senamiestis, Tilto g., 2 kambarių buto nuoma;;60 m²;670 €;2;2;2;1940;Mūrinis;Dujinis;Įrengtas;;;;;www.aruodas.lt/4-1190866;2022-11-03;2022-11-10;;10;438/5 (iš viso/šiandien);670;54.686982;25.285458;438/5;"IŠNUOMOJAMAS BUTAS VILNIAUS MIESTO ŠIRDYJE PRIE KATEDROS, TILTO G.Strategiškai patogioje vietoje šalia Katedros, labai jaukios ir tylios patalpos uždarame kieme su terasa.IŠPLANAVIMAS
- 60 kv. m. bendro ploto patalpos puikiai tinka įvairiai veiklai – biurui, gyvenimui;
- Patalpos įrengtos mansardoje;
- Patalpose yra valgomasis kartu su virtuve ir du atskiri kambariai, vienas iš jų pereinamas;
- Įrengtos šildomos grindys;
- Virtuvėlė su visa buitine technika.ŠILDYMAS
- Dujinis reguliuojamas šildymas;
- Išvedžioti interneto laidai.
VIETA
- Strategiškai patogi vieta, patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
- Galimybė išsinuomoti uždarame kieme automobilio stovėjimo vietą už papildomą kainą;
- Ramūs kaimynai, rami vieta su uždaru kiemeliu.PAPILOMA INFORMACIJA
- Nuomos laikotarpis ne trumpesnis, nei vieneri metai arba ilgiau, pagal atskiras susitarimo sąlygas;
- Tame pačiame pastate turime keletą papildomų patalpų, galimybė išsinuomoti didesnį plotą patalpų ateities perspektyvoms.-- Objekto nr. Ober-Haus tinklapyje www.ober-haus.lt/OH476263Profesionali pagalba parduodant, nuomojant ir įsigyjant nekilnojamąjį turtą:
- Sandoriui reikalingų dokumentų analizė prieš pardavimą;
- Preliminariųjų, rezervavimo sutarčių, priėmimo-perdavimo aktų ir kitų sutarties priedų bei dokumentų parengimas apsaugant jūsų interesus;
- Efektyvi ir itin platų pirkėjų ratą apimanti rinkodara ir marketingo priemonės, pirkėjų srauto monitoringas;
- Jūsų interesų atstovavimas derybose, sutarčių derinime;
- Konsultavimas mokestiniais, juridiniais klausimais.";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tilto-g-isnuomojamas-butas-vilniaus-miesto-sirdyje-4-1190866/;;;14.6 µg/m3;24 µg/m3;;;;2022_11_13
Vilnius, Naujoji Vilnia, Pramonės g., 1 kambario buto nuoma;141;20 m²;220 €;1;5;5;1976;Mūrinis;Elektra, centrinis kolektorinis;Įrengtas;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Virtuvė sujungta su kambariu;;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1159028;2022-11-03;2022-11-07;;116;1565/24 (iš viso/šiandien);220;54.694177;25.442351;1565/24;"GERAS PASIŪLYMAS - GERA KAINA!!!
NUOMOJAMAS NAUJAS SUREMONTUOTAS 1K. BUTAS NAUJOJOJE VILNIOJE, Pramonės g.
Išnuomojamas JAUKUS 20 kv. m. vieno kambario butas.
Buto išplanavimas: kambarys kartu su virtuve, vonios kambarys kartu su WC.
Bute yra visi reikalingi baldai (šaldytuvas, viryklė, skalbimo mašina).
MAŽI ŠILDYMO KAŠTAI.
Name tvarkinga laiptinė, ramūs kaimynai.
BUTAS LAISVAS.
**************************************************
Skambinti galite Jums patogiu laiku. Nepavykus prisiskambinti, rašykite sms - perskambinsiu.
******************************************************************
Nekilnojamo turto agentūra OPPA.
www.oppa.lt";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-pramones-g-geras-pasiulymas-gera-kaina-nuomojamas-4-1159028/;;;9.7 µg/m3;22.3 µg/m3;;;;2022_11_13
Vilnius, Karoliniškės, Apolinaro Juozo Povilaičio g., 1 kambario buto nuoma;;20 m²;300 €;1;1;2;1990;Mūrinis;Centrinis kolektorinis, dujinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina;Šarvuotos durys;www.aruodas.lt/4-1190154;2022-11-03;2022-11-07;;37;1556/26 (iš viso/šiandien);300;54.697876;25.223494;1556/26;"GERAS PASIŪLYMAS - GERA KAINA!!!
NUOMOJAMAS NAUJAS SUREMONTUOTAS 1K. BUTAS KAROLINIŠKĖSE, A.J.POVILAIČIO g.
Išnuomojamas JAUKUS 20 kv. m. vieno kambario butas.
Buto išplanavimas: miegamasis kambarys, virtuve atskirai, vonios kambarys kartu su WC.
Bute yra visi reikalingi baldai (šaldytuvas, viryklė, skalbimo mašina).
MAŽI ŠILDYMO KAŠTAI.
Name tvarkinga laiptinė, ramūs kaimynai.
BUTAS LAISVAS NUO 2022-12-01 APŽIŪRĖTI IR REZERVUOTI GALIMA IŠ ANKSTO.
**************************************************
Skambinti galite Jums patogiu laiku. Nepavykus prisiskambinti, rašykite sms - perskambinsiu.
******************************************************************
Nekilnojamo turto agentūra OPPA.
www.oppa.lt";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-apolinaro-juozo-povilaicio-g-geras-pasiulymas-gera-kaina-nuomojamas-4-1190154/;;;;;;;;2022_11_13
Vilnius, Lazdynai, Architektų g., 2 kambarių buto nuoma;224;50 m²;350 €;2;3;9;1970;Blokinis;Centrinis;Įrengtas;;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė;Kodinė laiptinės spyna;www.aruodas.lt/4-1190858;2022-11-03;2022-11-08;;32;1621/29 (iš viso/šiandien);350;54.678594;25.218735;1621/29;"
";;;https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-4-1190858/;;;14.3 µg/m3;20.5 µg/m3;4 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Senamiestis, Suvalkų g., 2 kambarių buto nuoma;;55 m²;650 €;2;2;4;1960;Mūrinis;Centrinis;Įrengtas;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Galima deklaruoti gyvenamąją vietą;Pirtis, Vieta automobiliui;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina, Vonia;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1190840;2022-11-03;2022-11-08;;12;359/10 (iš viso/šiandien);650;54.683219;25.266246;359/10;"VERTA ŽINOTI
- jokių tarpininkavimo mokesčių;
- aukštos lubos;
- išskirtinis namas su uždaru kiemu;
- medinės grindys;
- dideli kambariai [miegamasis 22kv.m.];
- visi baldai ir buitinė technika;
- centrinis šildymas [didžiausia sąskaita 110eur];
- nėra balkono;NUOMOTOJAS TIKISI
- minimalus nuomos terminas – 1 metai;
- 2 mėnesių dydžio užstatas;
- deja, bet ne augintiniams;NUOMOTOJAS UŽTIKRINA
- stabili nuomos kainą visą nuomos laikotarpį;
- galimybė pratęsti sutarties terminą;
- užtikrintas privatumas;SUPLANAVIMAS
- holas;
- svetainė;
- virtuvė;
- miegamasis;
- vonios kambarys;
- pirtis;
- langai orientuoti rytų ir vakarų kryptimis;TAIP PAT SVARBU
- uždaras kiemas automobiliams;
- bute įrengta pirtis;
- saugus kiemas [vaizdo kameros];Visi butai: gerasbutas.lt
Mes: savizmones.lt
Pagalba: mesdirbametaip.lt
";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-suvalku-g-verta-zinoti-jokiu-tarpininkavimo-mokesciu-4-1190840/;;;;;;;;2022_11_13
Vilnius, Paneriai, V. A. Graičiūno g., 1 kambario buto nuoma;10;10 m²;220 €;1;2;5;1985 statyba, 2020 renovacija;Mūrinis;Elektra;Įrengtas;;;;;www.aruodas.lt/4-1137404;2022-11-03;2022-11-03;;88;577/14 (iš viso/šiandien);220;54.621787;25.144173;577/14;"NUOMOJAMAS MAŽAS TAČIAU ŠVIESUS BEI JAUKUS, 10 KV.M, BUTAS V.A. GRAIČIŪNO G. 10• 2020m. RENOVUOTAS NAMAS
• VISI PATOGUMAI BUTE
• ATSKIRAS BUTAS ( NE BENDRABUČIO TIPO ! )
• ŠILDYMO SEZONO METU KOMPENSUOJAME DALĮ ELEKTROS IŠLAIDŲ.BENDRA INFORMACIJA:
• Adresas: V.A. Graičiūno g. 10
• Šildymas: Elektra
• Vandentiekis ir kanalizacija: miestoĮRENGIMAS:
• Sienos: dažytos
• Grindys: linoliaumas
• Langai: plastikiniai
• Durys: medžio laminato
• Yra visi reikalingiausi baldai bei buitinė technikaVIETA:
• Namo kieme nemokamos parkavimo vietos.
• Patogus susisiekimas, prie pat namo autobusų stotelė.
• Arti kelios kavinės, valgyklos, maisto prekių parduotuvė.Nuomos mokestis yra 55 eurai už savaitę (220eur/4 savaitėms), mokama kartą per mėnesį plius komunalinės paslaugos.
Įsikėlimui bei sutarties pasirašymui iš viso reiktų 610 Eur (į šią sumą įeina užstatas/depozitas 2mėn mėn 440eur., ir VIENKARTINIS TARPININKAVIMO MOKESTIS 170eur.), o nuomos mokestis mokamas po gyvento laikotarpio.ATSIRADUS NUOMININKAMS, SKELBIMAS BUS PAŠALINTAS.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-paneriuose-v-a-graiciuno-g-nuomojamas-mazas-taciau-sviesus-bei-jaukus-4-1137404/;;;;;;;;2022_11_13
Vilnius, Pašilaičiai, Eitminų g., 1 kambario buto nuoma;;32 m²;400 €;1;7;9;2012;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/4-1190824;2022-11-03;2022-11-07;;6;735/15 (iš viso/šiandien);400;54.73959;25.218703;735/15;"NUOMOJAMAS TVARKINGAS, ERDVAUS IŠPLANAVIMO 1 KAMBARIO BUTAS PAŠILAIČIUOSE, EITMINŲ GATVĖJE. BUTO VIETA YRA PATOGIOJE LOKACIJOJE, LEIDŽIANTI LENGVAI PASIEKTI MIESTO CENTRĄ.IŠPLANAVIMAS:
-- Prieškambaris;
-- Virtuvė kartu su miegamuoju;
-- Vonios kambarys ir tualetas kartu;
-- Tvarkingas balkonas;ĮRENGIMAS:
-- Visa reikiama buitine technika: šaldytuvas, orkaite, viryklė, skalbimo mašina.KITA INFORMACIJA
--Patogus privažiavimas;
--Kodinės durys;
- Rami ir saugi kaimynystė;
- Mažos komunalinės išlaidos.ŠILDYMAS:
-- Centrinis kolektorinis šildymas;PARKINGAS:
-- Bendras kiemas;VIETA:
-- Strategiškai patogi vieta, patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
-- Visai šalia viešojo transporto stotelės;
--Patogus ir lengvas susisiekimas su miesto centru;
--Netoliese prekybos centrai: RIMI, MAXIMA, DEPO, BIG’AS.Butas nėra pritaikytas gyventi su vaikais ar augintiniais.Jeigu butas tiks, bus taikomas vienkartinis tarpininkavimo mokestis. Dėl apžiūros galite skambinti Jums patogiu laiku.
";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-eitminu-g-nuomojamas-tvarkingas-erdvaus-isplanavimo-1-4-1190824/;;;;;3 Klasė Gera (1-3);;;2022_11_13
Vilnius, Žirmūnai, Rinktinės g., 1 kambario buto nuoma;;35 m²;380 €;1;7;9;1976;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/4-1190822;2022-11-03;2022-11-07;;19;936/16 (iš viso/šiandien);380;54.700119;25.287636;936/16;"NUOMOJAMAS TVARKINGAS 1 KAMBARIO BUTAS ŽIRMŪNUOSE, RINKTINĖS GATVĖJE. BUTAS YRA PATOGIOJE LOKACIJOJE, KURI LEIS LENGVAI SUSISIEKTI SU KITAIS MIESTO RAJONAIS. LENGVAI PASIEKIAMAS KALVARIJŲ TURGUS.IŠPLANAVIMAS:
-- Prieškambaris;
-- Virtuvė;
-- Miegamasis;
-- Vonios kambarys;
--Tualetas;
-- Įstiklintas balkonas.ĮRENGIMAS:
-- Visa reikiama buitine technika: šaldytuvas, orkaite, viryklė.PAPILDOMA INFORMACIJA:
- Patogus privažiavimas;
- Kodinė laiptinės spyna;
- Rami ir saugi kaimynystė;
- Nuomojamas su baldais ir buitine technika: viryklė, orkaitė, šaldytuvas.
-Aplink lengvai pasiekiami prekybos centrai, Kalvarijų turgus.ŠILDYMAS:
-- Centrinis šildymas.PARKINGAS:
-- Bendras kiemas.VIETA:
-- Strategiškai patogi vieta, patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
-- Visai šalia viešojo transporto stotelės;
--Patogus ir lengvas susisiekimas su miesto centru;
--Netoliese prekybos centrai: MAXIMA, LIDL.Butas nėra pritaikytas gyventi augintiniais.
Jeigu butas tiks, bus taikomas vienkartinis tarpininkavimo mokestis. Dėl apžiūros galite skambinti Jums patogiu laiku.
";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-rinktines-g-nuomojamas-tvarkingas-1-kambario-butas-4-1190822/;;;;;4 Klasė Vidutinė (4-5);;;2022_11_13
